Name, Z,RA,Dec,  Rmin, Rmax,  K0,  K0err, K100, K100err, Alpha, AlphaErr, ChiSq, K100_PL, K100err_PL, Alpha_PL, AlphaErr_PL, ChiSq_PL, Npts,Pt Src Flag
MCXC_J0547.0-3904,0.21,86.7563,-39.0740,8.5,492.3,11,2.8,136.9,6.7,1.19,0.06,0.73,143.1,6.5,0.96,0.04,1.94,13,N
ABELL_3364,0.148,86.9065,-31.8712,12.8,626.6,210.4,18.4,246.2,10.8,1.83,0.12,0.33,253.3,11.4,0.59,0.09,1.56,35,N
ABELL_0548A,0.04,87.1596,-25.4779,7.8,224.5,6.9,8.7,196.8,8.6,0.87,0.12,0.52,199.8,7.5,0.8,0.05,0.52,16,N
ABELL_0550,0.099,88.2159,-21.0536,18.1,537.4,-71.5,36.9,198.1,9.5,0.63,0.14,0.58,185.5,7.9,0.84,0.05,0.86,24,N
MACS_J0553.4-3342,0.407,88.3574,-33.7085,13.5,1228.6,186.9,22.3,287.1,14.5,1.23,0.07,0.84,299.7,16.9,0.69,0.06,1.95,36,N
ABELL_3378,0.141,91.4749,-35.3022,6.1,607.7,3.2,1.6,126.4,4,1.04,0.04,0.48,130.3,3.4,0.99,0.02,0.63,25,N
SPT-CL_J0615-5746,0.972,93.9661,-57.7794,20,758.4,78.6,10.1,154.1,7.3,1.33,0.08,0.11,173.8,7.7,0.81,0.05,2.43,15,N
CIZA_J0616.3-2156,0.171,94.1033,-21.9383,28.8,835.8,263.4,53.4,353.4,21.1,0.99,0.25,0.54,362.1,21.9,0.41,0.11,0.76,24,N
ABELL_S0579,0.152,94.1339,-39.7968,26.2,817.2,135.3,25.8,199.3,11.4,1.18,0.16,0.41,202.5,12,0.62,0.08,1.12,20,N
G139.59+24.18,0.27,95.4541,74.7014,10.3,738.3,-7.2,4.5,152.3,7.2,0.92,0.06,0.72,144.2,5.4,0.99,0.03,0.85,22,N
ABELL_3391,0.051,96.5785,-53.6926,9.8,449.7,294.4,24.6,341.1,12,1.54,0.18,0.54,359.9,12.1,0.4,0.09,0.9,75,N
ABELL_3395_SW,0.051,96.6806,-54.5435,12.3,621.7,-2.3,159.7,315,12.8,0.34,0.45,0.81,314.9,11.1,0.35,0.09,0.79,61,Y
ABELL_3399,0.203,99.3088,-48.4719,16.5,884.4,61,17.4,224.4,11,0.87,0.09,0.81,242.8,9.1,0.68,0.04,1.14,26,N
PLCKESZ_G167.65+17.64,0.174,99.5162,47.7986,29.2,957.3,281.5,22.9,293.4,17.5,1.94,0.16,0.57,243,15.6,0.53,0.1,2.26,24,N
ABELL_S0592,0.222,99.7020,-53.9742,8.9,593.6,29.1,7.3,171.5,6.7,0.94,0.07,0.5,185,5.2,0.75,0.04,0.89,30,Y
ABELL_3404,0.167,101.3700,-54.2284,14.1,841,41.4,15.7,216.9,9.2,0.94,0.08,0.37,226.2,8.3,0.8,0.04,0.55,32,N
MACS_J0647.8+7015,0.5907,101.9585,70.2471,33.1,861.1,144.2,34.9,201.2,18.4,1.45,0.13,0.11,164.5,14.4,0.94,0.07,0.91,15,Y?
ABELL_0562,0.11,103.3394,69.3310,14.9,337,40.6,82.2,211.6,10.3,0.45,0.58,0.8,214.3,7.6,0.35,0.13,0.77,29,Y
MACS_J0717+3745,0.546,109.3756,37.7600,15.9,1226.4,137.1,84.6,369.7,16.6,0.57,0.21,0.54,368.1,16.7,0.43,0.06,0.57,38,N
ABELL_0576,0.0389,110.3766,55.7616,3.8,169.2,35.2,14.4,217.5,4.3,0.69,0.13,1.06,219.4,4.2,0.53,0.04,1.15,44,N
ABELL_0578,0.087,111.2230,66.9854,16.1,197.1,16.4,25.7,256.3,17.7,1.05,0.24,0.21,261.2,15.1,0.92,0.09,0.22,10,N
ABELL_0586,0.171,113.0847,31.6325,14.4,843,111.1,11.9,187.5,6.1,1.29,0.07,0.67,193.5,6.5,0.79,0.04,2.26,33,N
ZwCl_0735.7+7421,0.216,115.4346,74.2440,8.7,390.4,16.1,1,139.1,2.1,1.15,0.02,6.05,150.1,1.9,0.87,0.01,14.68,23,N
FBQS_J074417.4+375317,1.0686,116.0724,37.8878,20.4,428.8,-17.5,11.1,143.7,6.7,0.81,0.11,0.29,132.7,4,0.99,0.03,0.74,10,N
MACS_J0744.9+3927,0.698,116.2201,39.4573,17.8,785,56.5,8.7,146.6,5.9,1.13,0.06,0.37,159.6,5.9,0.8,0.04,2.16,17,N
PKS_0745-19,0.103,116.8795,-19.2947,4.7,275.9,11.7,0.5,127,1,1.3,0.01,4.18,128.8,1,1.02,0.01,18.39,30,N
ABELL_0598,0.189,117.8550,17.5139,7.8,429.6,7.9,1.2,113.7,3.2,1.28,0.03,2.03,121,2.9,1.09,0.02,4.52,17,N
ABELL_0611,0.288,120.2370,36.0566,10.7,633.6,51.2,6.8,178,7.5,1.19,0.07,0.42,203.6,6.1,0.76,0.05,1.68,25,Y
SDSS-C4_3062,0.064,122.5973,42.2739,12.2,212.7,16,19.9,199.7,12.8,0.87,0.23,0.15,203,11.3,0.74,0.08,0.22,8,N
ABELL_0644,0.07,124.3585,-7.5088,3.3,346.5,96.4,6.9,176,4.5,1.48,0.08,0.56,199,3.6,0.66,0.04,1.93,53,N
MCXC_J0819.6+6336,0.119,124.8580,63.6238,10.6,355.6,12.2,14.6,165.7,8.5,0.73,0.18,0.42,169.2,6.9,0.64,0.06,0.43,14,N
NGC_2563_GROUP,0.0163,125.1485,21.0679,0.8,40.9,1.9,0.4,341.6,37.8,1.09,0.04,0.68,234.9,21.5,0.89,0.03,3.45,9,N
UGCl_120,0.029,125.8402,4.3726,2.9,98.9,2.3,0.9,171.5,12,1.1,0.06,0.64,160,10.5,0.96,0.03,1.39,8,N
ZwCl_0823.2+0425,0.225,126.4913,4.2467,17.9,510.3,35.6,17,164.9,13.1,1.02,0.15,0.13,179.4,9.9,0.78,0.07,0.45,11,N
2MFGC_06756,0.241,128.7284,55.5722,9.4,546.9,14.6,1.2,106.9,2.6,1.25,0.03,1.4,116.1,2.5,0.92,0.02,5.38,29,N
ABELL_3411,0.169,130.4664,-17.4627,14.3,392.5,76.1,20.6,240.9,8.6,0.99,0.12,0.43,253.3,7.6,0.68,0.06,0.74,27,N
NSC_J084254+292723,0.194,130.7329,29.4576,8,494.5,22.2,1.9,125.7,4.8,1.49,0.04,0.57,140.2,4.3,0.95,0.04,4.58,22,N
ABELL_0697,0.282,130.7399,36.3664,21.2,1237.8,221.8,23.8,283.4,13.9,1.57,0.08,0.32,254.9,13.8,0.84,0.05,1.68,35,N
ZwCl_0847.2+3617,0.378,132.5278,36.0712,25.8,889.7,234.5,60.5,296.4,33.2,1.47,0.17,0.34,221.6,21,0.89,0.08,0.94,17,N 
ZwCl_0857.9+2107,0.23,135.1535,20.8944,9.1,436.9,11.7,3.1,98.3,3.8,1.31,0.06,3.11,106.9,2.6,1.11,0.02,3.62,21,Y
ABELL_0744,0.073,136.8355,16.6517,6.9,356.7,7.4,25.5,179,6.4,0.5,0.23,0.64,179.8,5.8,0.46,0.07,0.62,25,N
SDSS_+137.3+11.0+0.18,0.18,137.3031,10.9748,15,968.9,59.1,21.9,196.5,6.9,0.72,0.12,0.77,202.5,6.5,0.55,0.05,0.89,40,N
2MASSi_J0913454+405628,0.442,138.4395,40.9413,14.2,780.2,23.7,2.8,120.2,3.9,1.16,0.04,0.31,136.6,3,0.89,0.02,3.03,19,N
ABELL_0773,0.217,139.4711,51.7280,17.4,879.3,208.8,21,248,12.5,1.69,0.1,0.51,211.1,11.3,0.82,0.06,1.76,39,N
Hydra_A,0.055,139.5246,-12.0957,2.6,176.7,12.9,0.3,115.2,0.6,1.09,0.01,5.16,111.1,0.6,0.76,0.01,36.84,34,N
NSC_J092017+303027,0.258,140.1118,30.4927,29.8,972.1,154.2,81.3,334.5,20.7,0.65,0.29,0.35,342.7,20.6,0.42,0.09,0.42,21,N
ABELL_0795,0.136,141.0241,14.1739,6,416.7,20.6,2.8,140.6,3.5,1.07,0.04,0.83,152.4,2.8,0.86,0.02,2.12,34,N
UGC_05088_GROUP,0.027,143.3573,34.0481,4,48.2,1.5,5.7,90.7,13,0.68,0.28,0.66,88,6.3,0.64,0.06,0.51,6,N
WHL_J093820.9+520243,0.36,144.5847,52.0484,25,237.4,107.5,14.3,152.6,11.3,2.33,0.25,0.33,174.3,9.3,0.6,0.17,2.59,9,N
ABELL_0868,0.153,146.3589,-8.6568,26.3,815.1,222.3,14.4,225.3,13.2,2.81,0.13,0.6,215.8,13.1,0.41,0.13,2.37,24,N
GALEX_J094712.4+762313,0.354,146.8028,76.3871,12.4,667.5,22.5,2,98.3,3.8,1.64,0.03,1.99,119.4,2.8,1.25,0.02,6.17,24,N
ZwCl_0949.6+5207,0.214,148.2056,51.8842,8.6,577.1,29.5,2.1,126,3,1.37,0.03,0.67,141.8,2.5,0.95,0.02,4.98,34,Y
ABELL_0907,0.153,149.5917,-11.0640,6.6,887.4,12.4,1.9,151.4,2.8,0.94,0.02,1.13,160.6,2.3,0.83,0.01,1.69,65,N
PLCKESZ_G264.41+19.48,0.24,150.0067,-30.2772,18.8,921.2,102.8,42.4,271.3,14.4,0.81,0.17,0.52,280.9,14,0.58,0.07,0.64,26,N
HCG_042,0.0133,150.0593,-19.6363,0.7,10,-0.1,1,90.6,24,0.69,0.17,2.1,92.5,9.7,0.7,0.04,1.75,8,N
MCXC_J1000.5+4409,0.154,150.1307,44.1458,13.2,416.4,25.8,6,126.5,5.7,1.05,0.09,0.16,136.7,4.3,0.77,0.05,1,16,N
ZwCl_1006.1+1201,0.221,152.1981,11.7908,17.7,900.6,137.5,15.8,202.8,7.7,1.36,0.09,0.55,206.5,8.2,0.74,0.05,1.53,39,N
MCXC_J1010.5-1239,0.301,152.6355,-12.6633,22.2,764.4,43.7,38.3,244.9,10.8,0.61,0.17,0.82,251,9.1,0.51,0.06,0.82,25,N
ABELL_0963,0.206,154.2652,39.0471,8.4,643.8,38.5,8.8,189.7,6,0.82,0.07,0.43,202.4,4.8,0.64,0.03,0.8,37,N
ABELL_0970,0.059,154.3481,-10.6851,11.3,450.7,93.1,15.5,208.8,7.2,1.1,0.1,0.43,223.6,6.7,0.68,0.05,1.06,33,N
MCXC_J1022.0+3830,0.049,155.5416,38.5230,4.7,116,14.7,9.1,221.8,17.1,0.82,0.18,0.37,207.7,12.6,0.64,0.06,0.43,22,Y
